MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION,MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION
224549000,0,-128,9.1,0,-5.432711,36.14189,7,9,07-MAY-07 11.42.09 AM,9080015,EAJW,Ciudad De Malaga,6,140,18,0,0,0,0,0,05/07 - 16.30,3.7,Tanger,224549000,0,-128,91,0,-5.432711,36.14189,70,9,07-MAY-07 11.42.09 AM,9080015,EAJW,Ciudad De Malaga,6,140,18,0,0,0,0,0,05/07 - 16.30,3.7,Tanger
477992900,0,-128,13.1,0,-6.837645,36.980735,8,7,07-MAY-07 11.42.33 AM,9151448,VRAX7,Ennerdale,8,99,18,0,0,0,0,0,05/07 - 10.00,4.8,Huelva;spain,477992900,0,-128,131,0,-6.837645,36.980735,80,7,07-MAY-07 11.42.33 AM,9151448,VRAX7,Ennerdale,8,99,18,0,0,0,0,0,05/07 - 10.00,4.8,Huelva;spain
30450100,0,-128,0,0,-5.317264,35.8969,167,184,07-MAY-07 11.42.09 AM,7624348,V2XE,Sun,7,79,13,0,0,0,0,0,05/17 - 08.00,5.6,Alexandria,30450100,0,-128,0,0,-5.317264,35.8969,1670,184,07-MAY-07 11.42.09 AM,7624348,V2XE,Sun,7,79,13,0,0,0,0,0,05/17 - 08.00,5.6,Alexandria
538070186,0,-128,0,0,-5.356075,36.149559,325,277,07-MAY-07 11.42.23 AM,0,V7JJ6,Lady Zelda,37,40,8,0,0,0,0,0,05/09 - 07.00,2.8,Gibraltar,538070186,0,-128,0,0,-5.356075,36.149559,3250,277,07-MAY-07 11.42.23 AM,0,V7JJ6,Lady Zelda,37,40,8,0,0,0,0,0,05/09 - 07.00,2.8,Gibraltar
356876000,0,-128,14.1,0,-4.5683,36.071478,82,82,07-MAY-07 11.41.51 AM,7807988,3FOV6,M/v Aghia Markella,7,0,0,0,0,0,0,0,05/10 - 12.00,12,Kalamaki,356876000,0,-128,141,0,-4.5683,36.071478,820,82,07-MAY-07 11.41.51 AM,7807988,3FOV6,M/v Aghia Markella,7,0,0,0,0,0,0,0,05/10 - 12.00,12,Kalamaki
224604000,0,-128,5.6,0,-5.309239,35.896404,20,13,07-MAY-07 11.41.56 AM,9235866,EBSW,Euroferrys Pacifica,4,101,26,0,0,0,0,0,03/10 - 23.14,4.2,Algeciras,224604000,0,-128,56,0,-5.309239,35.896404,200,13,07-MAY-07 11.41.56 AM,9235866,EBSW,Euroferrys Pacifica,4,101,26,0,0,0,0,0,03/10 - 23.14,4.2,Algeciras
353728000,0,-128,25.2,0,-5.819924,35.902774,85,87,07-MAY-07 11.42.40 AM,9305702,3EFR7,Msc Madeleine,7,349,43,0,0,0,0,0,05/09 - 23.00,13.6,Suez,353728000,0,-128,252,0,-5.819924,35.902774,850,87,07-MAY-07 11.42.40 AM,9305702,3EFR7,Msc Madeleine,7,349,43,0,0,0,0,0,05/09 - 23.00,13.6,Suez
240513000,0,-128,26.5,0,-6.167684,35.891236,91,91,07-MAY-07 11.41.11 AM,9305594,SWWC,Cosco Yantian,7,351,43,0,0,0,0,0,05/10 - 22.00,12.7,Suez Canal,240513000,0,-128,265,0,-6.167684,35.891236,910,91,07-MAY-07 11.41.11 AM,9305594,SWWC,Cosco Yantian,7,351,43,0,0,0,0,0,05/10 - 22.00,12.7,Suez Canal
246002000,0,-128,12.5,0,-4.096494,36.141461,79,80,07-MAY-07 11.41.51 AM,8024040,PDBE,Coral Isis,8,114,18,0,0,0,0,0,05/09 - 02.00,6.7,Tarragona,246002000,0,-128,125,0,-4.096494,36.141461,790,80,07-MAY-07 11.41.51 AM,8024040,PDBE,Coral Isis,8,114,18,0,0,0,0,0,05/09 - 02.00,6.7,Tarragona
564929000,0,-128,12.5,0,-5.916988,35.897089,87,88,07-MAY-07 11.41.52 AM,9176034,S6TC,Eagle Augusta,8,243,42,0,0,0,0,0,05/07 - 16.00,8.4,Gibraltar,564929000,0,-128,125,0,-5.916988,35.897089,870,88,07-MAY-07 11.41.52 AM,9176034,S6TC,Eagle Augusta,8,243,42,0,0,0,0,0,05/07 - 16.00,8.4,Gibraltar
