Country (Area)	Seaport	Lat	Lon
AQ	Pago Pago	-14.2793	-170.7009
AS	"Adelaide, SA"	-34.9287	138.5999
AS	"Brisbane, QLD"	-27.4709	153.0235
AS	"Darwin, NT"	-12.4628	130.8418
AS	"Fremantle, WA"	-32.056	115.7472
AS	"Geelong, VIC"	-38.1485	144.3613
AS	"Hobart, TAS"	-42.8819	147.3238
AS	"Melbourne, VIC"	-37.8136	144.963
AS	"Newcastle, NSW"	-32.9267	151.7789
AS	"Perth, WA"	-31.9529	115.8573
AS	"Sydney, NSW"	-33.8737	151.2069
AS	"Townsville, QLD"	-19.2576	146.8179
KT	Kiritimati	1.7802	-157.3086
CW	Mangaia	-21.9352	-157.9166
CW	Rarotonga	-21.2292	-159.7763
FJ	Lautoka	-17.6242	177.4528
FJ	Suva	-18.1416	178.4419
FP	Papeete	-17.535	-149.5696
#Guam	Apra (Agana)	13.4554	144.6451
US	Honolulu	21.3069	-157.8583
KR	Tarawa	1.3291	172.9791
RM	Majuro	7.0688	171.2821
NR	Nauru	-0.5228	166.9315
NC	Noumea	-22.2758	166.458
NZ	Auckland	-36.8485	174.7633
NZ	Christchurch	-43.5321	172.6362
NZ	Dunedin	-45.8788	170.5028
NZ	Lyttelton	-43.6033	172.7193
NZ	Napier	-39.4928	176.912
NZ	Timaru	-44.397	171.255
NZ	Wellington	-41.2865	174.7762
NE	Alofi	-19.0554	-169.9179
PP	Lae	-6.7237	146.9909
PP	Madang	-5.2337	145.7889
PP	Port Moresby	-9.4816	147.1902
PP	Rabaul	-4.1962	152.173
WS	Apia	-13.8333	-171.75
BP	Honiara	-9.4304	159.9483
TN	Nuku'alofa	-21.1333	-175.2
TV	Funafuti	-8.5167	179.2167
NH	Vila	-17.7348	168.322
AG	Algiers	36.7529	3.042
AG	Annaba	36.9029	7.7555
AG	Oran	35.699	-0.6331
AG	Skikda	36.8667	6.9
AO	Lobito	-12.3667	13.5333
AO	Luanda	-8.8383	13.2344
AO	Soyo	-6.14	12.3521
BN	Cotonou	6.3667	2.4333
CM	Douala	4.0475	9.7064
CV	Praia	14.9305	-23.5125
CG	Pointe Noire	-4.7994	11.8776
IV	Abidjan	5.3363	-4.0278
DJ	Djibouti	11.588	43.145
EG	Alexandria	31.2001	29.9187
EG	Damietta	31.4175	31.8144
EG	Port Said	31.2653	32.3019
EK	Bata	1.8625	9.7657
EK	Malabo	3.75	8.7833
ET	Assab	12.85	42.43
ET	Massawa	15.6092	39.4453
GB	Libreville (Owendo)	0.3908	9.4536
GB	Port Gentil	-0.7211	8.7817
GA	Banjul	13.4531	-16.5775
GH	Tema	5.6667	-0.0167
GV	Conakry	9.537	-13.6785
PU	Bissau	11.8667	-15.6
KE	Mombasa	-4.0435	39.6682
LI	Buchanan	5.8828	-10.0437
LI	Monrovia	6.3008	-10.7972
LY	Benghazi	32.1167	20.0667
LY	Tripoli	32.8762	13.1875
MA	Majunga	-15.7167	46.3167
MA	Tamatave	-18.1499	49.4023
MR	Nouakchott	18.0841	-15.9784
MP	Port Louis	-20.1653	57.4964
MO	Agadir	30.4333	-9.6
MO	Casablanca	33.5333	-7.5833
MO	Ceuta	35.8882	-5.3162
MZ	Beira	-19.8333	34.85
MZ	Maputo	-25.9667	32.5833
MZ	Nacala	-14.5648	40.6889
WA	Luderitz	-26.6458	15.1539
NI	Calabar	4.95	8.325
NI	Lagos-Apapa	6.45	3.3667
NI	Port Harcourt	4.7848	7.0055
NI	Warri	5.5167	5.75
RE	Pointe des Galets	-20.9235	55.2893
#St. Helena	Jamestown	-15.9221	-5.7047
TP	Sao Tomé	0.3368	6.7278
SG	Dakar	14.6928	-17.4467
SE	Victoria	-4.6145	55.4418
SL	Freetown	8.4841	-13.2287
SO	Berbera	10.4333	45.0167
SO	Mogadishu	2.0333	45.35
SF	Cape Town	-33.9249	18.4241
SF	Durban	-29.8579	31.0276
SF	East London	-32.9833	27.8667
SF	Port Elizabeth	-33.9326	25.57
SF	Saldanha Bay	-33.097	18.1903
SU	Port Sudan	19.6167	37.2167
TZ	Dar es Salaam	-6.8229	39.267
TZ	Mtwara	-10.2748	40.1839
TZ	Tanga	-5.0695	39.0988
TZ	Zanzibar	-6.1659	39.2026
TO	Lome	6.1378	1.2125
TS	Sfax	34.7452	10.7613
TS	Sousse	35.833	10.6388
TS	Tunis-La Goulette	36.8181	10.305
#Zaire	Boma	-5.8487	13.0561
#Zaire	Matadi	-5.8174	13.4708
CA	"Halifax, NS"	44.6489	-63.5753
CA	"Montreal, PQ"	45.5087	-73.554
CA	"Quebec, PQ"	52.9399	-73.5491
CA	"Saint John, NB"	45.2733	-66.0633
CA	"Toronto, ON"	43.6532	-79.3832
CA	"Vancouver, BC"	49.2612	-123.1139
MX	Coatzacoalcos	18.15	-94.4333
MX	Guaymas	27.914	-110.9021
MX	Lázaro Cárdenas	20.2847	-101.5973
MX	Manzanillo	19.0522	-104.3158
MX	Salina Cruz	16.1863	-95.1924
MX	Tampico	22.2553	-97.8686
MX	Tuxpan	20.9646	-97.4045
MX	Veracruz	19.1903	-96.1533
US	"Anchorage, AK"	61.2181	-149.9003
US	"Baltimore, MD"	39.2904	-76.6122
US	"Baton Rouge, LA"	30.4583	-91.1403
US	"Beaumont, TX"	30.0802	-94.1266
US	"Boston, MA"	42.3584	-71.0598
US	"Brownsville, TX"	25.9017	-97.4975
US	"Buffalo, NY"	42.8864	-78.8783
US	"Canaveral, FL"	28.4556	-80.5278
US	"Charleston, SC"	32.7766	-79.9309
US	"Chicago, IL"	41.8781	-87.6298
US	"Cleveland, OH"	41.4995	-81.6954
US	"Corpus Christi, TX"	27.8006	-97.3964
US	"Detroit, MI"	42.3314	-83.0458
US	"Duluth-Superior, MN"	46.7208	-92.1041
US	"Erie, PA"	42.1292	-80.0851
US	"Freeport, TX"	40.6576	-73.5832
US	"Galveston, TX"	29.3013	-94.7977
US	"Gulfport, MS"	30.3674	-89.0928
US	"Hampton Roads, VA"	37.1481	-76.5012
US	"Honolulu, HI "	21.3069	-157.8583
US	"Houston, TX"	29.7602	-95.3694
US	"Jacksonville, FL"	30.3322	-81.6557
US	"Lake Charles, LA"	30.2266	-93.2174
US	"Long Beach, CA"	33.7683	-118.1956
US	"Los Angeles, CA"	34.0522	-118.2437
US	"Milwaukee, WI"	43.0389	-87.9065
US	"Mobile, AL"	30.6944	-88.0431
US	"New Orleans, LA"	29.9511	-90.0715
US	"New York, NY"	40.7144	-74.006
US	"Oakland, CA"	37.8044	-122.2711
US	"Orange, TX"	40.7327	-74.1843
US	"Palm Beach, FL"	26.7056	-80.0364
US	"Panama City, FL"	30.1588	-85.6602
US	"Pascagoula, MS"	30.3658	-88.5561
US	"Pensacola, FL"	30.4213	-87.2169
US	"Philadelphia, PA"	39.9523	-75.1638
US	"Port Arthur, TX"	29.885	-93.9399
US	"Port Everglades, FL"	26.097	-80.1273
US	"Portland, ME"	43.6615	-70.2553
US	"Portland, OR"	45.5235	-122.6762
US	"Sacramento, CA"	38.5816	-121.4944
US	"San Diego, CA"	32.7153	-117.1573
US	"San Francisco, CA"	37.7749	-122.4194
US	"Savannah, GA"	32.0835	-81.0998
US	"Seattle, WA"	47.6062	-122.3321
US	"Stockton, CA"	37.9577	-121.2908
US	"Tacoma, WA"	47.2529	-122.4443
US	"Tampa, FL"	27.9506	-82.4572
US	"Toledo, OH"	41.6639	-83.5552
AV	Sandy Ground	18.2206	-63.0686
AC	St. John's	17.1175	-61.8455
AA	Oranjestad	12.5246	-70.0265
BF	Freeport	26.5285	-78.6966
BF	Nassau	25.06	-77.345
BB	Bridgetown	13.0989	-59.6134
BH	Belize City	17.4977	-88.1867
BD	Hamilton	32.2948	-64.7814
CJ	George Town	19.3	-81.3833
CS	Puerto Caldera	9.9114	-84.7191
CS	Puerto Limon	9.9894	-83.0374
CS	Puntarenas	9.9778	-84.8294
CU	Havana	23.1168	-82.3886
DO	Roseau	15.3042	-61.3842
DR	Rio Haina	18.428	-70.0153
DR	Santo Domingo	18.5	-69.9833
ES	Acajutla	13.5882	-89.8324
GR	St. George's	12.0535	-61.7497
GP	Pointe á Pitre	16.2411	-61.5331
