CC	Country	Excess Factor	Risk	List Type
GM	Germany	-1.91	Low	White
SW	Sweden	-1.9	Low	White
DA	Denmark	-1.78	Low	White
NL	Netherlands	-1.78	Low	White
UK	United Kingdom	-1.73	Low	White
FR	France	-1.7	Low	White
HK	"Hong Kong, China"	-1.69	Low	White
SN	Singapore	-1.66	Low	White
IT	Italy	-1.66	Low	White
GR	Greece	-1.65	Low	White
FI	Finland	-1.64	Low	White
HR	Croatia	-1.62	Low	White
UK	"Man, Isle of, UK"	-1.56	Low	White
BF	Bahamas	-1.5	Low	White
NO	Norway	-1.48	Low	White
PL	Poland	-1.47	Low	White
BE	Belgium	-1.42	Low	White
LI	Liberia	-1.38	Low	White
BD	"Bermuda, UK"	-1.36	Low	White
CY	Cyprus	-1.33	Low	White
EI	Ireland	-1.33	Low	White
GI	"Gibraltar, UK"	-1.31	Low	White
SP	Spain	-1.31	Low	White
RM	Marshall Islands	-1.31	Low	White
CH	China	-1.24	Low	White
KS	"Korea, Republic of"	-1.13	Low	White
EN	Estonia	-1.02	Low	White
MT	Malta	-1.01	Low	White
BB	Barbados	-1.01	Low	White
LU	Luxembourg	-0.96	Low	White
CJ	"Cayman Islands, UK"	-0.91	Low	White
RS	Russian Federation	-0.83	Low	White
AC	Antigua and Barbuda	-0.79	Low	White
PO	Portugal	-0.78	Low	White
RP	Philippines	-0.73	Low	White
PM	Panama	-0.69	Low	White
LH	Lithuania	-0.68	Low	White
TU	Turkey	-0.54	Low	White
FO	Faroe Islands (DK)	-0.49	Low	White
JA	Japan	-0.48	Low	White
NH	Vanuatu	-0.37	Low	White
LG	Latvia	-0.33	Low	White
IR	"Iran, Islamic Republic of"	-0.01	Low	White
KZ	Kazakhstan	0.04	Low to Medium	Grey
US	United States of America	0.07	Low to Medium	Grey
SA	Saudi Arabia	0.08	Low to Medium	Grey
MY	Malaysia	0.09	Low to Medium	Grey
TH	Thailand	0.09	Low to Medium	Grey
SZ	Switzerland	0.1	Low to Medium	Grey
IN	India	0.12	Low to Medium	Grey
BU	Bulgaria	0.24	Low to Medium	Grey
BH	Belize	0.27	Low to Medium	Grey
MO	Morocco	0.3	Low to Medium	Grey
#99	Curacao	0.38	Low to Medium	Grey
TV	Tuvalu	0.38	Low to Medium	Grey
TS	Tunisia	0.4	Low to Medium	Grey
LO	Slovakia	0.43	Low to Medium	Grey
AG	Algeria	0.51	Low to Medium	Grey
EG	Egypt	0.67	Low to Medium	Grey
VM	Viet Nam	0.72	Low to Medium	Grey
CW	Cook Islands	0.74	Low to Medium	Grey
JM	Jamaica	0.91	Low to Medium	Grey
VC	St Vincent and the Grenadines	0.94	Low to Medium	Grey
HO	Honduras	1.06	Medium	Black
DO	Dominica	1.07	Medium	Black
SY	Syrian Arab Republic	1.25	Medium	Black
LE	Lebanon	1.25	Medium	Black
AJ	Azerbaijan	1.46	Medium	Black
UP	Ukraine	1.59	Medium	Black
GG	Georgia	1.73	Medium	Black
CB	Cambodia	2	Medium to High	Black
CN	Comoros	2.22	Medium to High	Black
SC	St Kitts and Nevis	2.57	Medium to High	Black
MD	"Moldova, Republic of"	2.86	Medium to High	Black
AL	Albania	3.24	High	Black
TZ	Tanzania United Rep.	3.29	High	Black
SL	Sierra Leone	3.69	High	Black
TO	Togo	4.01	Very High	Black
BL	Bolivia	4.03	Very High	Black
LY	Libyan Arab Jamahiriya	5.24	Very High	Black
