MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
636091978,0,0,16.5,-32.75338667,-71.70291167,346,344,1330608538,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.6,-32.75578167,-71.70226167,347,344,1330608506,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.6,-32.75612833,-71.70210667,348,344,1330608500,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.75839167,-71.70148667,348,344,1330608472,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.75885167,-71.70140333,348,345,1330608464,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.76195,-71.700605,346,345,1330608424,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.76736667,-71.69904667,346,343,1330608352,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.76915833,-71.69846833,346,344,1330608328,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.77102833,-71.69789167,346,343,1330608302,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.77194,-71.69764,346,344,1330608291,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,0,0,16.7,-32.77734167,-71.696015,344,344,1330608218,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
